author,year,category,sub_category_I,sub_category_II,task,sub_task,title,journal,ml_type,neuralNetwork_type,neuralNetwork_name,hiddenLayers,training_process,inputs,outputs,data_domain,data_type,data_size,performance_metrice,performance_score,baseline,notes
Zhang,2018,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,An Efficient Neural-Network-Based Microseismic Monitoring Platform for Hydraulic Fracture on an Edge Computing Architecture,Sensors,['ANN'],['CNN'],['LSTM'],"[4, 3, 2]",['Supervised_Learning'],['waveform'],"['no event', 'event']",['time'],['field'],[],['Accuracy'],[0.96],['STA/LTA'], edge-computing-based platform
Dickey,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Improving Regional and Teleseismic Detection for Single-TraceWaveforms Using a Deep Temporal Convolutional Neural Network Trained with an Array-Beam Catalog,Sensors,['ANN'],['CNN'],['TCN'],"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],['time'],[],[608362],[],[],"['FilterBank', 'Kurtosis']",  
Doubravová,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Single Layer Recurrent Neural Network for detection of local swarm-like earthquakes—the application,GJI,['ANN'],['RNN'],[],['?'],['Supervised_Learning'],['STA/LTA ratios of seismic traces in different frequency bands'],"['no event', 'event']",['time'],['field'],[],"['true positive rate', 'true negative rate']","[0.99, 0.78]",[],  
Kong,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Machine Learning Aspects of the MyShake Global Smartphone Seismic Network,SRL,['ANN'],['FC'],[],[3],['Supervised_Learning'],['features'],"['no event', 'event']","['time', 'frequency']",['field'],[],"['Precision', 'Recall', 'F1-score']",[0.7],[],  
Meier,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Reliable real‐time seismic signal/noise discrimination with machine learning,JGR,['ANN'],"['CNN', 'FC', 'RNN']","['GRU', 'GAN']","[32, 64, 128, 80, 80]",['Supervised_Learning'],['3C waveform'],"['quake', 'noise']",[],[],[1200000],[],[],[]," the main results and conclusions of this paper are based on comparing several architecure without any robust hyperparameter tuning. Moreover hybrid architectures (e.g. CNN + RNN, etc) are not considered. So highly questionable and not insightfull at all. "
Meyer,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Systematic identification of external influences inmulti-year microseismic recordings using convolutionalneural networks,Earth Surface Dynamics,['ANN'],"['CNN', 'FC']",[],"[32, 32, 32, 32, 32, 32, 1]",['Supervised_Learning'],['STFT'],"['non-geophysical sources ', 'micro-earthquakes']",['time-frequency'],['field'],[],['F-score'],[0.91],['STA/LTA'], 
Mousavi,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,CRED: A Deep Residual Network of Convolutional and Recurrent Units for Earthquake Signal Detection,Scientific Reports,['ANN'],"['CNN', 'FC']",['LSTM'],"[8, 8, 8, 16, 16, 16, 64, 64, 64, 128, 128]",['Supervised_Learning'],['3C STFT'],"['no event', 'event']",['time-frequency'],['field'],[500000],"['Precision', 'Recall', 'F1-score']","[0.96, 0.99, 0.99]","['STA/LTA', 'template matching']", @@
Wu,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,DeepDetect: A Cascaded Region-Based Densely Connected Network for Seismic Event Detection,IEEE-TGRS,['ANN'],"['CNN', 'FC']",[],"[24, 96, 168, 240, 240, 240, 240, 240, 240, 240]",['Supervised_Learning'],['3C waveform'],"['noise', 'event']",['time'],['field'],[1000],[],[],[]," @@ - cascaded region-based convolutional neural network to capture earthquake events in different sizes while incorporating contextual information to enrich features for each proposal. To achieve a better generalization performance, we use densely connected blocks as the backbone of our network. Because some positive events are not correctly annotated, we further formulate the detection problem as a learning-from-noise problem. "
Chin,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'],EEW,Intelligent Real-Time Earthquake Detection by Recurrent Neural Networks,IEEE-TGRS,['ANN'],['RNN'],['LSTM'],"[32, 32]",['Supervised_Learning'],"['STA', 'LTA', 'characteristic', 'ground acceleration of the three axes']","['Event', 'P-wave', 'S-wave']",['features'],['field'],[1800],"['Precision', 'Recall', 'F1-score']",[0.98],[]," @@ 779590:19659596 - MEMS, the recurrent neural network (RNN) models are adopted to develop a real-time EEW system. The developed system is designed to identify the occurrence of an earthquake event, and the duration of the P-wave and the S-wave. In addition to the raw acceleration waveforms. a combination of a characteristic function, STA, and LTA was used as the input to the model."
Fauvel,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Event Discrimination']",Quake,A Distributed Multi-Sensor Machine Learning Approach to Earthquake EarlyWarning,AAAI Conference on Artificial Intelligence,['ANN'],"['RNN', 'CNN']",['LSTM'],"['?', '?', '?']",['Supervised_Learning'],"['3C seismic waveform', '3C GPS data']","['normal activity', 'medium earthquake', 'large eartqhuake']",[],[],[15000],[],[],[]," @@ Muti-station and single-station, combining GPS and seismic, Proposed a two-step approach for detection and classification of medium and large earthquakes using two different sensor types. In the first step two models based on deep  convolutional and recurrent neural networks are used to detect and identify medium and large earthquakes on individual seismic and GPS stations respectively. The station-level detection results are then used by another neural network to make a network-level detection. Hence, in this approach deep learning is used to combine the outcomes from two types of sensors and observation levels."
Huang,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,CrowdQuake: A Networked System of Low-Cost Sensors for Earthquake Detection via Deep Learning,Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,['ANN'],"['CNN', 'FC', 'RNN']",[],"[64, 64, 64, 3072, 100, 100]",['Supervised_Learning'],['waveform'],"['noise', 'event']",['time'],[],[70000],['AUROC'],[],[], @@ - MEMS sensors - developed a deep-learning model based on the a combination of convolutional and recurrent neural networks for earthquake detection using MEMS sensors. Showed that the deep learning model can outperform the feature-based shallow neural nets for the same task. 
Khan,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Earthquake Detection in a Static and Dynamic Environment Using Supervised Machine Learning and a Novel Feature Extraction Method,Sensors,['ANN'],['FC'],[],[5],['Supervised_Learning'],"['inter-quartile range (IQR)', 'zero crossing rate (ZC)', 'cumulative absolute velocity (CAV)']","['noise', 'event']",['feature'],[],[25000],[],[0.8],[], MEMS sensors - basically tried a similar model as MyShake for earthquake detection on MEMS in both static and dynamic noie environment and showed adding some new features can improve the perfomance.
Kim,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Multifeature Fusion-Based Earthquake Event Classification Using Transfer Learning,IEEE-GRSL,['ANN'],"['CNN', 'FC']",[],"[64, 64, 64, 64, 64, 64, 192, 192, 64, 64, 64, 320]","['Supervised_Learning', 'Transfer_Learning']",['features'],"['no event', 'event']","['time-frequency', 'time']",['field'],[7168],"['Accuracy', 'true positive rate', 'false positive rate']",[0.99],"['Pero et al.', 'RNN', 'Spectrogram']"," @@ * Different representations of seismic data (i.e. in time, frequency, or time-frequency domain) can be used as the  input into deep-learning models. Each of these representations could have different advantages in characterizing the earthquake signals. Hence Kim et al. (2020)\cite{779590:19659592} proposes a multifeature fusion model to combine multi-resolution features from different representations (i.e. the short-time Fourier transform, recurrence plot, and S transform) with those directly extracted from 3C waveworms. In this approach, first, separate earthquake detector models are trained based on each representation to learn the features for the classification task. In the next step, these models are used as feature extractors and the extracted features at multiple layers of different models are combined using a deep neural network and used for earthquake detection. "
Ku,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Event Discrimination']",Quake,Earthquake Event Classification using Multitasking Deep Learning,IEEE-GRSL,['ANN'],"['CNN', 'FC']",['Attention'],"['?', '?', '?', '?', '?', '?', '?', '?', 128, 32]",['Supervised_Learning'],[],[],['time'],['field'],[25432],[],[],[]," - we propose an attention-based CNN structure using multitasking learning (MTL) that enables the classification of earthquake multievent. We formulate the classification problem as MTL in which binary classification task (earthquake versus noise) and three-class classification task (microearthquake versus macroearthquake versus noise) work well at the same time. The basic structure for earthquake classification consists of three stages: preprocessing, feature extraction, and classification stages. The feature extraction stage consists of convolution layers with and without the attention module, and the classification stage consists of two FC layers and a softmax function."
Mezyk,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Automatic Image-Based Event Detection for Large-N Seismic Arrays Using a Convolutional Neural Network,Remote Sensing,['ANN'],"['CNN', 'FC']",['VGG'],"[32, 32, 64, 64, 128, 128, 128, 384]",['Supervised_Learning'],['2D time-space'],"['no event', 'event']","['frequency', 'raw waveform', 'envelope']",['field'],[20000],[],[],['XGBoost'], address the issue of automatic scanning of ambient noise data recorded by a large-N array in search of body–wave energy (body–wave events) utilizing a convolutional neural network (CNN).
Mosher,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Automatic Detection and Location of Seismic Events From Time‐Delay Projection Mapping and Neural Network Classification,JGR,['ANN'],['FC'],[],[14],['Supervised_Learning'],['4 features: the second and fourth Hu image moments as features as well as the aggregated network p values at periods 0.2 and 0.5 s'],"['event', 'noise']",[],['field'],[],"['Balanced Accuracy (BA)', 'F1-Score']",[],[],The method proposed in this study involves two main components. The first of these is a time-delay projection mapping that allow one to create a 3Dimage that captures information about the coherence of the seismic wavefield during a given time window. The second component of our methodology involves training a neural network classifier to predict periods of time in our data set that contain seismic events
Rouet‐Leduc,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Probing slow earthquakes with deep learning,GRL,['ANN'],"['CNN', 'FC']",[],"[32, 32, 32, 36608, 10]",['Supervised_Learning'],['STFT'],"['no event', 'event']",['time-frequency'],['field'],[95000],['AUC'],[0.77],[], Tremor - trained a convolutional neural network to detect known tremor on a single seismic station in Cascadia
Stork,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Application of machine learning to microseismic event detection in distributed acoustic sensing data,Geophysics,['ANN'],['CNN'],['YOLO'],"[32, 64, 32, 64, 128, 64, 128, 256, 128, 256, 512, 256, 512, 1024, 512, 1024]",['Supervised_Learning'],['2D'],[],[],['synthetic'],[2000],[],[0.8],"['STA/LTA', 'f-k filtering']"," @@ 2D - This study presents the first demonstration of the transferability of a convolutional neural network (CNN) trained to detect microseismic events in one fiber-optic distributed acoustic sensing (DAS) data set to other data sets. We have trained the CNN known as YOLOv3, an object detection algorithm, to detect microseismic events using synthetically generated waveforms with real noise superimposed."
Tang,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Automating the Detection of Dynamically Triggered Earthquakes via a Deep Metric Learning Algorithm,SRL,['ANN'],['CNN'],[],"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16]",['Supervised_Learning'],[],"['no event', 'event']",[],['field'],[1100],['Accuracy'],[0.88],[], for detection of dynamically triggered earthquakes (small earthquakes triggered by transient stresses from the surface waves of large magnitude earthquakes)
Tous,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Deep Neural Networks for Earthquake Detection and Source Region Estimation in North-Central Venezuela,BSSA,['ANN'],"['CNN', 'FC']",[],"[32, 32, 32, 32, 32, 32, 32, 640, 10, 10, 10]",['Supervised_Learning'],['3C waveform'],"['no event', 'cluster1', 'cluster2', 'cluster3', 'cluster4', 'cluster5', 'cluster6']",['time'],['field'],[949],['Accuracy'],[0.95],"['FAST', 'template matching']", basically retraining and applying Perol's network to another region.
Wang,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,SeismoGen: Seismic Waveform Synthesis Using Generative Adversarial Networks,arXive,['ANN'],['CNN'],['GAN'],"[128, 128, 128, 128]",['Supervised_Learning'],[],"['no event', 'event']",[],['field'],[1120],[],[],[], for generating more synthetic labels based on a limited number of available reliable labels to improve the performance of deep-learning detector models
Wilkins,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Identifying microseismic events in a mining scenario using a convolutional neural network,Computers & Geosciences,['ANN'],['CNN'],[],"[20, 10, 200]",['Supervised_Learning'],['single-channel waveform'],[],['time'],['field'],[575],[],[],[], use a CNN to perform event detection using 3 station waveforms
Zhang,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Deep Convolutional Neural Network for Microseismic Signal Detection and Classification,Pure Appl. Geophys.,['ANN'],"['CNN', 'FC']",[],"[64, 64, 64, 64, 128, 128, 128, 128, 256, 256, 256, 256, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 256, 128]",['Supervised_Learning'],['wavelet-transform'],[],['time-frequency'],[],[16000],"['Precision', 'Recall', 'F1-Score']",[],[]," single station, time-frequency, In this paper, a convolutional neural network (CNN)-based microseismic detection network (CNN-MDN) model was established"
Njirjak,2020,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Machine Learning Classification of Cohen’s Class Time-Frequency Representations of Non-Stationary Signals: Effects on Earthquake Detection,IEEE-TGRS-XX,['ANN'],['CNN'],"['VGG', 'AlexNet', 'ResNet']","[64, 64, 64, 64, 64, 64, 128, 128, 128, 128, 128, 128, 128, 128, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 256, 512, 512, 512, 512, 512, 512]",['Supervised_Learning'],[],[],['time-frequency'],['field'],[150000],[],[],[], This paper tested if alternative time-frequency representations could be more informative for machine learning classification of seismological data 
Ertuncay,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Identification of Near-Fault Impulsive Signals and Their Initiation and Termination Positions with Convolutional Neural Networks,Geosciences,['ANN'],"['CNN', 'FC']",[],"[16, 16, 16, 32, 64, 40, 30]",['Supervised_Learning'],[],"['no event', 'event']",[],['Synthetic'],[],[],[],[], *$* 
Shaheen,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,GroningenNet: Deep Learning for Low-Magnitude Earthquake Detection on a Multi-Level Sensor Network,Sensors,['ANN'],"['CNN', 'FC']",[],"[16, 16, 16, 64, 5952, 500]",['Supervised_Learning'],[],"['no event', 'event']",[],[],[],[],[],['STA/LTA'], *$* 
Civilini,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'],MoonQuake,"Detecting moonquakes using convolutional neural networks, a non-local training set, and transfer learning",GJI,['ANN'],"['CNN', 'FC']",[],"[32, 64, 64]",['Supervised_Learning'],[],"['no event', 'event']",[],[],[],[],[],[], *$* demonstrate that Convolutional Neural Networks can be used to accurately catalogue planetary seismicity without local training data by building binary noise/signal classifiers from a single Earth seismic station and applying the models to moonquakes from the Apollo Passive Seismic Experiment (PSE) and the Lunar Seismic Pro filing Experiment (LSPE)
Othman,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Seismic Denoising']", ,Automated Event Detection and Denoising Method for Passive Seismic Data Using Residual Deep Convolutional Neural Networks,IEEE-TGRS,['ANN'],"['CNN', 'FC']",[],"[64, 256, 256, 512, 512, 512, 512, 512, 1024, 1024, 1024, 1024, 1024, 2048, 2048, 2048, 2048]",['Supervised_Learning'],['waveform'],"['noise', 'event']",['time'],['synthetic'],[300],[],[],[]," a workflow is proposed where a residual deep neural network is customized and employed to detect passive seismic events. The automated detection is followed by a denoising step to extract the signal of interest from background noise using an IIR Wiener filter. event detection is applied collectively to multiple seismic traces in order to indicate instants of events presented in the whole data set using a bounding box. the proposed detection method works by identifying the presence of event instants in the whole data set, rather than exactly finding the—often noisy—exact event’s start and end or P/S arrivals. it separates the noise-only part from the event part of the data and, hence, has the potential to be used for other applications, such as interferometry. The complete method works to detect the events in the seismic data and then denoise iteratively."
Saad,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,SCALODEEP: A Highly Generalized Deep Learning Framework for Real‐time Earthquake Detection,JGR,['ANN'],['CNN'],['U-Net'],"[4, 4, 8, 8, 16, 16, 32, 32, 64, 64, 128, 128, 256, 256, 256, 256, 128, 128, 64, 64, 32, 32, 16, 16, 8, 8, 4, 4]",['Supervised_Learning'],['CWT'],[],['time-frequency'],['field'],[991390],"['Precision', 'Recall', 'F1-score', 'specificity', 'NPV']",[],['CRED'], saad2021scalodeep 
Shakeel,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Detecting earthquakes: a novel deep learning-based approach for effective disaster response,Applied Intelligence,['ANN'],"['CNN', 'RNN', 'FC']",['GRU'],"[8, 32, 16, 32, 32, 32, 32, 32, 32, 32, 512]",['Supervised_Learning'],['log-mel spectrograms'],"['event', 'noise']",['time-frequency'],['field'],[150000],"['Precision', 'Recall', 'F1-score']",[],"['CRED', 'ConvNetQuake']"," propose a 3-dimensional (3D) convolution architecture for earthquake detection and extend the use of log-mel spectrogram-based feature extraction for seismic signals to achieve higher dimensionality in the spatial and temporal domains. proposes a 3D- CNN-RNN architecture to exploit the spatial and temporal features from seismic waveforms. In a typical CNN-RNN architecture, feature maps are stacked together, whereas we apply separate RNNs on each kernel (filter) of the last convolutional layer to maximize the amount of temporal information extracted from the seismic waves. In contrast to ConvNetQuake and CRED, we use log-mel energies to balance frequency and temporal features."
Yang,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Simultaneous Earthquake Detection on Multiple Stations via a Convolutional Neural Network,SRL,['ANN'],"['CNN', 'FC']",['LeNet'],"[8, 16, 32, 32, 64, 128, 2, 2]",['Supervised_Learning'],['multi station waveform'],"['noise', 'event']",['time'],['field'],[4152],"['Precision', 'Recall', 'Accuracy']",[],"['STA/LTA', 'M&L']"," @@ multi-station, Multi-station approach but instead of using all the stations a subset of stations are randomly sampled and ordered during the training to generate an extremely large number of realizations of multi-station observations of earthquake and none earthquakes. Due to the use of this data augmentation strategy, the resulting model exhibits a good flexibility and generalization to different numbers of stations, different instrument types (OBS and Geophones), and different data sampling rates. "
Yano,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Graph-partitioning based convolutional neural network for earthquake detection using a seismic array,JGR,['ANN'],"['CNN', 'FC']",[],"[30, 40]",['Supervised_Learning'],['two-dimensional (2D) arrays of the three-channel waveforms recorded at multiple seismic stations'],"['noise', 'event']",['time'],['field'],[6800],[],[],"['sing-station CNN', 'multi-station CNN']"," @@ - multi-station - present a deep-learning approach for earthquake detection using multi-station  waveforms with a goal of reducing the false positive rate. A two-step pooling strategy is proposed in Yano et al. (2021)\cite{yano2021graph} to alleviate the challenge of limited data for training of the multi-station detector network. In the first step, a kernel convolution followed by a max pooling operation is used to automatically extract features from short windows of 3C waveforms recorded by each station and reducing their dimension. This step can be viewed as a station-level data compression. In the next step, a graph-partitioning method is used to divide the seismic stations into a few clusters of presumably more correlated stations based on their adjacency in a graph representation, and then extracted features from stations in each cluster are aggregated to perform a network-level compression. This compact representation of seismic observation across the array in the feature space, is then used by the subsequent layers of the neural network for reasoning and classifying the observation as either earthquake or non-earthquake event. The core idea is that the observed waveforms at nearby stations correlate with each other in the feature space, thus by stacking (average pooling) of them and improving the feature representation, the performance could be improved as opposed to naive multi-station deep-learning approaches. The method seems to be not very flexible with the number and geometry of the stations, depending on the event-station distributions, and the hyperparameters used for graph partitioning."
Jiang,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Time Window Selection of Seismic Signals for Waveform Inversion Based on Deep Learning,IEEE-TGRS,['ANN'],['CNN'],[],"[4, 8, 16, 32, 64, 128, 256, 128, 64, 32, 16, 8, 4]",['Supervised_Learning'],[],['the probability of each sample point if it is a signal or not'],['time'],['field'],[24000],"['accuracy', 'precision', 'recall', 'F1 score', 'IoU']",[],[]," To reduce the nonlinearity of FWI, a critical step is to exclude the noises and select seismic signals that are not cycle skipped for the inversion. Conventionally 10,000 times faster than the conventional FLEXWIN algorithm.  results of the FCN method are more stable than those of FLEXWIN without any parameter tuning However, matching the entire seismic record without selection would introduce bias through the noisy data and slow down the convergence of inversion due to the cycle-skipping problem for each synthetic seismogram, we label every time series sample point with two different types: 0: outside the selected windows and 1: inside the selected windows."
Thomas,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Identification of Low-Frequency Earthquakes on the San Andreas Fault With Deep Learning,GRL,['ANN'],['CNN'],['U-Net'],"[32, 64, 128, 188, 128, 64, 32]",['Supervised_Learning'],[],[],['time'],['field'],[1000000],[],[],[]," *$* train a convolutional neural network to detect low-frequency earthquakes near Parkfield, CA"
Shaheen,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,Deep learning for low-magnitude earthquake detection on a multi-level sensor network,IEEE-GRSL,['ANN'],"['CNN', 'FC']",[],"[8, 8, 4, 500, 80]",['Supervised_Learning'],[],[],['time'],['field'],[],[],[],"['STA/LTA', 'template-matching']"," *$* propose a convolutional neural network (CNN) to detect seismic events from shallow borehole stations in Groningen, the Netherlands."
Zhang,2021,Data Processing Automation,Passive Seismology,Seismic Monitoring,['Event Detection'], ,A Data-Driven Framework for Automated Detection of Aircraft-Generated Signals in Seismic Array Data Using Machine Learning,SRL,['ANN'],"['CNN', 'FC']",['ResNet'],"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",['Supervised_Learning'],[],[],['time-frequency'],['field'],[],[],[],[], *$* 
Dokht,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,Seismic Event and Phase Detection Using Time–Frequency Representation and Convolutional Neural Networks,SRL,['ANN'],"['CNN', 'FC']",[],"[5, 5, 5, 5, 2, 2]",['Supervised_Learning'],['CWT'],[],['time-frequency'],['field'],[4900],"['Accuracy', 'picking-error']",[],[], @@ - two separate CNNs one for detection and one for picking
Zhou,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,Hybrid Event Detection and Phase‐Picking Algorithm Using Convolutional and Recurrent Neural Networks,SRL,['ANN'],"['CNN', 'FC']",['GRU'],"[3, 32, 32, 32, 32, 32, 32, 32]",['Supervised_Learning'],['waveforms'],[],['time'],['field'],[135966],"['error < 0.1 s', 'hit-rate']",[0.93],['STA/LTA'], @@ - two separate neural networks- a CNN for detection and a bidirectional Gated Recurrent Units for picking. Used augmentation.
Zhu,2019,Data Processing Automation,Passive Seismology,Seismic Monitoring,"['Event Detection', 'Phase Picking']", ,Deep learning for seismic phase detection and picking in the aftershock zone of 2008 Mw7.9 Wenchuan Earthquake,PEPI,['ANN'],"['CNN', 'FC']",[],"[3, 16, 32, 64, 64, 64, 64, 64, 64, 64, 64, 3]",['Supervised_Learning'],['waveforms'],"['P', 'S', 'N']",['time'],['field'],[30000],['Accuracy'],[0.97],['AR'], a convolutional network in a recursive manner for both detection and phase picking
